EmplID - Employee Name,Employee - EmplID - Job Title,Terminal,Workforce Callout Number,Call out Reasons,Related Employee,Shift,Date Created
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,AM and PM,03-17-2024 10:46 PM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,AM and PM,03-17-2024 08:28 PM
aachal,BUS ATTENDANT,New York Ave,+(289) 888-1482,Paid Family Leave,68058,AM and PM,03-17-2024 04:51 PM
aadesh,BUS ATTENDANT,New York Ave,+(953) 638-6905,Unscheduled Sick Leave,41452,PM,03-15-2024 02:35 PM
aadil,MOTOR VEHICLE OPERATOR,New York Ave,+(676) 207-3884,Unscheduled Sick Leave,127345,PM,03-15-2024 12:00 PM
aadish,Bus Attendant,New York Ave,+(288) 831-1482,Unscheduled Sick Leave,128037,AM and PM,03-15-2024 06:54 AM
aadish,Bus Attendant,New York Ave,+(288) 831-1482,Late to Work,128037,AM,03-15-2024 06:47 AM
aaditya,MOTOR VEHICLE OPERATOR,New York Ave,+(921) 154-9304,Unscheduled Sick Leave,100688,AM and PM,03-15-2024 05:19 AM
aaenab,Bus Attendant,New York Ave,+(607) 493-9290,Paid Family Leave,128038,AM and PM,03-15-2024 04:27 AM
aafreen,Bus Attendant,New York Ave,+(707) 610-6946,Unscheduled Sick Leave,127886,AM and PM,03-15-2024 04:19 AM
aafrin,MOTOR VEHICLE OPERATOR,New York Ave,+(432) 988-6147,FMLA,41783,AM and PM,03-15-2024 04:07 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,AM and PM,03-15-2024 03:55 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-15-2024 03:31 AM
aaftab,MOTOR VEHICLE OPERATOR,New York Ave,+(957) 728-8437,Unscheduled Sick Leave,41919,AM and PM,03-15-2024 02:40 AM
aagand,Bus Attendant,New York Ave,+(141) 263-5199,Unscheduled Sick Leave,132007,AM and PM,03-14-2024 11:40 PM
aahim,MOTOR VEHICLE OPERATOR,New York Ave,+(240) 893-7656,Paid Family Leave,42458,AM and PM,03-14-2024 11:24 PM
aajad,Bus Attendant,New York Ave,+(465) 353-2371,Annual Leave - Unscheduled,53347,AM and PM,03-14-2024 11:04 PM
aajiv,MOTOR VEHICLE OPERATOR,New York Ave,+(356) 393-9119,Unscheduled Sick Leave,54763,AM and PM,03-14-2024 10:46 PM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,AM and PM,03-14-2024 08:11 PM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-14-2024 06:15 PM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,PM,03-14-2024 11:24 AM
aadesh,BUS ATTENDANT,New York Ave,+(953) 638-6905,Unscheduled Sick Leave,41452,AM and PM,03-14-2024 08:03 AM
aaftab,MOTOR VEHICLE OPERATOR,New York Ave,+(957) 728-8437,Unscheduled Sick Leave,41919,AM and PM,03-14-2024 05:18 AM
aakar,MOTOR VEHICLE OPERATOR,New York Ave,+(565) 326-9986,Unscheduled Sick Leave,42917,AM and PM,03-14-2024 04:50 AM
aadesh,BUS ATTENDANT,New York Ave,+(953) 638-6905,Unscheduled Sick Leave,41452,AM and PM,03-14-2024 04:27 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,AM and PM,03-14-2024 03:56 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-14-2024 03:34 AM
aakas,Bus Attendant,New York Ave,+(781) 573-9105,Unscheduled Sick Leave,123310,AM and PM,03-14-2024 02:24 AM
aakash,MOTOR VEHICLE OPERATOR,New York Ave,+(983) 657-7199,Unscheduled Sick Leave,41365,AM and PM,03-14-2024 01:40 AM
aaenab,Bus Attendant,New York Ave,+(607) 493-9290,Paid Family Leave,128038,AM and PM,03-14-2024 01:32 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Paid Family Leave,41143,AM and PM,03-14-2024 12:52 AM
aahim,MOTOR VEHICLE OPERATOR,New York Ave,+(240) 893-7656,Paid Family Leave,42458,AM and PM,03-13-2024 11:42 PM
aaditya,MOTOR VEHICLE OPERATOR,New York Ave,+(921) 154-9304,Unscheduled Sick Leave,100688,AM and PM,03-13-2024 09:30 PM
aagand,Bus Attendant,New York Ave,+(141) 263-5199,Annual Leave - Unscheduled,132007,AM and PM,03-13-2024 08:01 PM
aakib,Bus Attendant,New York Ave,+(394) 531-1807,Annual Leave - Unscheduled,41431,AM and PM,03-13-2024 04:20 PM
aagand,Bus Attendant,New York Ave,+(141) 263-5199,Late to Work,132007,PM,03-13-2024 01:41 PM
aachal,BUS ATTENDANT,New York Ave,+(289) 888-1482,Paid Family Leave,68058,PM,03-13-2024 11:54 AM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,PM,03-13-2024 11:19 AM
aalina,Bus Attendant,New York Ave,+(666) 994-4045,Unscheduled Sick Leave,112055,PM,03-13-2024 10:57 AM
aaliya,Bus Attendant,New York Ave,+(764) 903-1459,Unscheduled Sick Leave,109474,AM,03-13-2024 06:43 AM
aaditya,MOTOR VEHICLE OPERATOR,New York Ave,+(921) 154-9304,Unscheduled Sick Leave,100688,AM and PM,03-13-2024 05:04 AM
aajad,Bus Attendant,New York Ave,+(465) 353-2371,Annual Leave - Unscheduled,53347,AM,03-13-2024 04:42 AM
aamil,Bus Attendant,New York Ave,+(189) 279-1327,Annual Leave - Unscheduled,111881,AM and PM,03-13-2024 04:29 AM
aamin,Motor Vehicle Operator,New York Ave,+(866) 560-8627,Unscheduled Sick Leave,51841,AM and PM,03-13-2024 03:52 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-13-2024 03:35 AM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,AM and PM,03-13-2024 03:02 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-13-2024 02:59 AM
aahim,MOTOR VEHICLE OPERATOR,New York Ave,+(240) 893-7656,Paid Family Leave,42458,AM and PM,03-12-2024 10:50 PM
aamina,MOTOR VEHICLE OPERATOR,New York Ave,+(177) 799-5876,Unscheduled Sick Leave,59081,AM and PM,03-12-2024 10:15 PM
aamir,Bus Attendant,New York Ave,+(214) 770-8236,Annual Leave - Unscheduled,127884,AM and PM,03-12-2024 09:58 PM
aamod,Bus Attendant,New York Ave,+(365) 681-1852,Late to Work,127883,PM,03-12-2024 01:59 PM
aamosh,BUS ATTENDANT,New York Ave,+(116) 775-4786,Unscheduled Sick Leave,41297,PM,03-12-2024 01:24 PM
aakas,Bus Attendant,New York Ave,+(781) 573-9105,Unscheduled Sick Leave,123310,PM,03-12-2024 12:24 PM
aachal,BUS ATTENDANT,New York Ave,+(289) 888-1482,Annual Leave - Unscheduled,68058,PM,03-12-2024 12:24 PM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,PM,03-12-2024 11:58 AM
aamina,MOTOR VEHICLE OPERATOR,New York Ave,+(177) 799-5876,Unscheduled Sick Leave,59081,PM,03-12-2024 11:44 AM
aamrin,BUS ATTENDANT,New York Ave,+(139) 895-5194,Late to Work,68079,AM,03-12-2024 07:47 AM
